dataset,outer_fold,model,selected_params,inner_macro_f1,inner_accuracy,outer_accuracy,outer_macro_f1,correct,total,features,selection_seconds,fit_seconds,prediction_seconds,tree_depth,tree_leaves,tree_nodes
Flare,10,BernoulliNB,"{""alpha"": 0.1}",0.17658668770178673,0.7362110311750599,0.7318840579710145,0.14488459139114163,101,138,30,0.04080035799961479,0.0006495460002042819,0.00017762400057108607,,,
Flare,10,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.1306780348174418,0.8153477218225419,0.8405797101449275,0.12924771502226387,116,138,30,2.4025203970013536,0.18056293500012544,0.02293124099924171,,,
Glass,1,CART,"{""ccp_alpha"": 0.0, ""max_depth"": 5, ""min_samples_leaf"": 1}",0.5478305123869568,0.6197916666666666,0.7272727272727273,0.5816993464052288,16,22,40,0.13007005600047705,0.000862402999700862,0.00011458100016170647,5,19,37
Glass,1,Logistic,"{""C"": 1.0}",0.5019360716831497,0.6510416666666666,0.9090909090909091,0.8125,20,22,40,0.16486049800005276,0.006125187001089216,8.900300053937826e-05,,,
Glass,1,BernoulliNB,"{""alpha"": 0.1}",0.6341527182631918,0.6822916666666666,0.8181818181818182,0.7333333333333334,18,22,40,0.021431769000628265,0.000562207000257331,0.00016578699978708755,,,
Glass,1,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.5947391006936522,0.6979166666666666,0.8181818181818182,0.7671957671957671,18,22,40,1.7502543299997342,0.12784564600042359,0.023557241998787504,,,
Glass,2,CART,"{""ccp_alpha"": 0.0, ""max_depth"": 10, ""min_samples_leaf"": 1}",0.6044565789891491,0.65625,0.5909090909090909,0.7043040293040294,13,22,40,0.1420961210005771,0.0010296130003553117,0.00012287299978197552,10,48,95
Glass,2,Logistic,"{""C"": 100.0}",0.6267243779310769,0.6927083333333334,0.7272727272727273,0.7615384615384615,16,22,40,0.26299826100148493,0.031656487999498495,0.00011437000102887396,,,
Glass,2,BernoulliNB,"{""alpha"": 0.1}",0.6832646468588205,0.703125,0.5909090909090909,0.6636752136752136,13,22,40,0.021914827999353292,0.0005512799998541595,0.00016506499923707452,,,
Glass,2,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.6289767846825453,0.7395833333333334,0.5909090909090909,0.6581196581196581,13,22,40,1.7612003820013342,0.12366731099973549,0.023608368001077906,,,
Glass,3,CART,"{""ccp_alpha"": 0.0, ""max_depth"": 10, ""min_samples_leaf"": 1}",0.5873882240162019,0.6510416666666666,0.5909090909090909,0.606140350877193,13,22,40,0.13343750900094165,0.0009511059997748816,0.00011349899978085887,10,51,101
Glass,3,Logistic,"{""C"": 100.0}",0.6576412717304407,0.6770833333333334,0.8636363636363636,0.7775793650793651,19,22,40,0.38218176900045364,0.044472081999629154,0.00015015399912954308,,,
Glass,3,BernoulliNB,"{""alpha"": 0.01}",0.6759402177869492,0.6979166666666666,0.8636363636363636,0.7775793650793651,19,22,40,0.024417812999672606,0.0006409939996956382,0.00018272200031788088,,,
Glass,3,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.6733568092327554,0.7239583333333334,0.8636363636363636,0.8759920634920634,19,22,40,1.6688518859991746,0.11900210299972969,0.022792935000325087,,,
